@relation 'ObesityDataSet_raw_and_data_sinthetic-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R14-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(-inf-1.666667]\':Nunca-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(1.666667-2.333333]\':As vezes, \'(2.333333-inf)\':Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N\'(-inf-2]\':Entre uma e duas, \'(2-3]\':Tres, \'(3-inf)\':Mais de tres-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N\'(-inf-0.75]\':Nao pratica, \'(0.75-1.5]\':Um a dois dias na semana, \'(1.5-2.25]\':Dois a  quatro dias na semana, \'(2.25-inf)\':Quatro a cinco dias na semana-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.6666667]\':Zero a duas horas por dia, \'(0.666667-1.333333]\':Tres a cinco horas por dia, \'(1.333333-inf)\':Mais de cinco horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.666667]\':Zero a duas horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R15-Nno:Nao consome, Sometimes:As vezes, Frequently:Com frequencia, Always:Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R16-NPublic_Transportation:Transporte publico, Walking:A pe, Automobile:Automovel, Motorbike:Moto, Bike:Bicicleta-weka.filters.unsupervised.attribute.RenameNominalValues-R1-NFemale:Feminino, Male:Masculino-weka.filters.unsupervised.attribute.RenameNominalValues-R5-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R6-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R10-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R12-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NNormal_Weight:Peso Normal, Overweight_Level_I: Sobrepeso level 1, Overweight_Level_II: Sobrepeso level 2, Obesity_Type_I: Obesidade tipo 1, Obesity_Type_II: Obesidade tipo 2, Obesity_Type_II: Obesidade Tipo 3, Insufficient_Weight: Abaixo do peso-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NObesidade Tipo 3: Obesidade tipo 2, Obesity_Type_III: Obesidade tipo 3-weka.filters.unsupervised.attribute.RenameNominalValues-R9-NSometimes: As vezes, Frequently:Com frequencia, Always:Sempre, no:Nunca-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-1.666667]\':Menos de um litro, \'(1.666667-2.333333]\':Entre um e dois litros, \'(2.333333-inf)\':Mais de dois litros-weka.filters.unsupervised.attribute.MathExpression-EA4/(A3*A3)-R1-2,5-17-weka.filters.unsupervised.attribute.Remove-R4'

@attribute Genero_de_Nascimento {Feminino,Masculino}
@attribute Idade numeric
@attribute IMC numeric
@attribute Tem_historico_de_sobrepeso_familiar {Sim,Nao}
@attribute Come_comidas_caloricas_com_frequencia {Nao,Sim}
@attribute Come_vegetais_nas_refeicoes {Nunca,'As vezes',Sempre}
@attribute Quantidade_de_refeicoes_diarias {'Entre uma e duas',Tres,'Mais de tres'}
@attribute Come_entre_as_refeicoes {'As vezes','Com frequencia',Sempre,Nunca}
@attribute Fuma {Nao,Sim}
@attribute Consumo_de_agua_diario {'Menos de um litro','Entre um e dois litros','Mais de dois litros'}
@attribute Monitora_as_calorias_ingeridas {Nao,Sim}
@attribute Frequencia_de_atividade_fisica {'Nao pratica','Um a dois dias na semana','Dois a  quatro dias na semana','Quatro a cinco dias na semana'}
@attribute Tempo_gasto_com_dispositivos_tecnologicos {'Zero a duas horas por dia','Tres a cinco horas por dia','Mais de cinco horas por dia'}
@attribute Frequencia_de_consumo_de_alcool {'Nao consome','As vezes','Com frequencia',Sempre}
@attribute Meio_de_transporte {'Transporte publico','A pe',Automovel,Moto,Bicicleta}
@attribute Classificacao {'Peso Normal','Sobrepeso level 1','Sobrepeso level 2','Obesidade tipo 1','Abaixo do peso','Obesidade tipo 2','Obesidade tipo 3'}

@data
Feminino,33,22.89282,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,20,19.707964,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,20,25.390625,Nao,Nao,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,33,24.835646,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Masculino,33,27.755102,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,33,33.742423,Sim,Sim,'As vezes','Entre uma e duas',Sempre,Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Com frequencia',Automovel,'Obesidade tipo 1'
Masculino,14,24.622961,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','A pe','Peso Normal'
Masculino,34,25.992439,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Sobrepeso level 1'
Masculino,18,27.769798,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 2'
Masculino,18,31.141869,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 1'
Masculino,29,33.912513,Sim,Sim,Nunca,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 1'
Masculino,18,17.531045,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Entre um e dois litros',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Abaixo do peso'
Masculino,18,17.722117,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Entre um e dois litros',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Abaixo do peso'
Masculino,19,18.938776,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes',Bicicleta,'Peso Normal'
Masculino,33,27.173119,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','A pe','Sobrepeso level 2'
Masculino,33,25.102391,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','A pe','Sobrepeso level 1'
Feminino,19,20.755372,Sim,Sim,'As vezes',Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,22,22.857143,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,20,21.513859,Nao,Sim,Sempre,Tres,Nunca,Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,23,23.875433,Nao,Sim,Sempre,'Entre uma e duas','Com frequencia',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,26,22.160665,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Sim,'Um a dois dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Masculino,18,31.221304,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 1'
Feminino,18,21.484375,Nao,Sim,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,21.604938,Nao,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,18,21.936347,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,24.355421,Nao,Sim,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','Com frequencia',Automovel,'Peso Normal'
Feminino,19,25.826446,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,18,22.600263,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Com frequencia',Automovel,'Peso Normal'
Feminino,18,21.875,Sim,Sim,'As vezes','Entre uma e duas',Sempre,Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','A pe','Peso Normal'
Feminino,19,22.948116,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,19,23.4375,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,18,23.309053,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome',Automovel,'Peso Normal'
Feminino,18,20.811655,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,26,21.971336,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','A pe','Peso Normal'
Masculino,18,17.915089,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Masculino,19,20.761246,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,19,19.735976,Nao,Sim,'As vezes','Mais de tres','As vezes',Nao,'Menos de um litro',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,24.485652,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,26.851852,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,24,39.257812,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 2'
Feminino,18,23.711845,Sim,Sim,Nunca,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,24.280975,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,22.491349,Sim,Nao,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,23,22.530612,Nao,Nao,Sempre,Tres,Nunca,Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,18,19.051974,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,20,24.092971,Nao,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,18,19.284149,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,33,23.733238,Nao,Sim,Sempre,'Entre uma e duas','Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,19,20,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,21.007668,Nao,Sim,'As vezes',Tres,Sempre,Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,25.503616,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 1'
Feminino,18,20.957171,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,21,34.198557,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Obesidade tipo 1'
Masculino,27,29.745809,Sim,Sim,'As vezes','Entre uma e duas',Sempre,Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 2'
Masculino,17,20.987654,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,18,23.087868,Nao,Nao,Sempre,'Mais de tres',Sempre,Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','A pe','Peso Normal'
Feminino,18,19.921875,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,22,24.772097,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Peso Normal'
Masculino,22,24.772097,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Peso Normal'
Feminino,20,17.146776,Nao,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Abaixo do peso'
Feminino,19,17.709563,Nao,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,20,21.162064,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,18,32.421875,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Obesidade tipo 1'
Feminino,18,29.937595,Nao,Nao,Sempre,'Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,18,19.195303,Sim,Sim,Nunca,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,20.19947,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,18,25.910684,Nao,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,18,25.648918,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,18,20.82094,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Sim,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,19,22.758307,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,17,20.028842,Nao,Sim,Nunca,'Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,18,20.284799,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,18,21.138856,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Menos de um litro',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,20,21.43086,Sim,Sim,'As vezes','Entre uma e duas','Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,18,25.777778,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,36,29.384757,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Masculino,21,22.530864,Sim,Sim,Nunca,Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,23,24.489796,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Com frequencia','Transporte publico','Peso Normal'
Masculino,20,30.718336,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','Nao consome',Moto,'Obesidade tipo 1'
Masculino,21,23.76641,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','A pe','Peso Normal'
Feminino,19,20.545694,Nao,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,24,27.428571,Nao,Sim,Sempre,Tres,Nunca,Nao,'Entre um e dois litros',Sim,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,25,24.677021,Nao,Sim,'As vezes',Tres,'As vezes',Sim,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,45,29.757785,Nao,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Masculino,20,20.061728,Nao,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes',Moto,'Peso Normal'
Feminino,18,23.665244,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,19,18.518519,Sim,Sim,Sempre,'Entre uma e duas',Sempre,Nao,'Menos de um litro',Sim,'Nao pratica','Zero a duas horas por dia','Nao consome',Moto,'Peso Normal'
Masculino,18,17.915089,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Masculino,20,18.491124,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,25.196214,36.7744,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,18.503343,44.715131,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,26,42.091713,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,21.853826,44.70612,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,21.90012,48.572062,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,18.306615,43.659074,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,26,41.913063,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,26,39.493737,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Feminino,21.849705,42.73062,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 3'
Masculino,19.799054,18.065315,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Masculino,17.188754,17.739065,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Masculino,22.285024,18.168135,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Abaixo do peso'
Feminino,22,18.223024,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,21.02497,17.963118,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,22.038327,17.741005,Sim,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,21.243142,17.561293,Nao,Nao,Sempre,'Entre uma e duas','Com frequencia',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,22.142432,16.819197,Nao,Nao,Sempre,Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,21.962426,17.771434,Nao,Nao,Sempre,'Entre uma e duas','Com frequencia',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,21.491055,17.108967,Nao,Nao,'As vezes','Entre uma e duas','Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,22.717943,17.510911,Nao,Nao,Sempre,'Entre uma e duas','Com frequencia',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,23.501249,17.578125,Nao,Nao,Sempre,Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,18.535075,15.792641,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Sim,'Quatro a cinco dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,19,17.482821,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,19,17.20511,Nao,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Mais de dois litros',Sim,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,20.254534,16.776318,Nao,Sim,Sempre,'Entre uma e duas','Com frequencia',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Feminino,21,18.17867,Nao,Sim,Sempre,'Entre uma e duas','Com frequencia',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Abaixo do peso'
Feminino,20.225396,18.565866,Nao,Sim,Sempre,Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Abaixo do peso'
